user_id,marketplace_side,signup_date,week1_sessions,week1_searches,week1_listings,week1_bookings,week1_messages,active_week_1,active_week_2,active_week_3,active_week_4,last_active_week,churn_flag,cohort_month,week1_engagement
U10038,Supply,2025-05-05,14,5,2,0,1.0,1,1,1,1,4,0,2025-05,22.0
U10039,Demand,2025-04-27,7,9,0,0,6.0,1,0,1,1,4,0,2025-04,22.0
U10040,Demand,2025-02-21,12,2,0,1,2.0,1,0,0,1,4,0,2025-02,17.0
U10041,Supply,2025-01-27,10,6,1,0,4.0,1,1,1,1,4,0,2025-01,21.0
U10042,Demand,2025-06-06,9,7,0,0,6.0,1,1,1,0,3,0,2025-06,22.0
U10043,Supply,2025-06-05,19,6,4,2,5.0,1,1,1,1,4,0,2025-06,36.0
U10044,Demand,2025-02-04,5,3,0,0,4.0,1,1,1,1,4,0,2025-02,12.0
U10045,Supply,2025-05-16,7,2,1,0,2.0,1,1,1,0,3,0,2025-05,12.0
U10046,Demand,2025-05-24,10,4,0,1,7.0,1,1,1,0,3,0,2025-05,22.0
U10047,Supply,2025-04-16,9,3,2,0,1.0,1,1,0,1,4,0,2025-04,15.0
U10048,Demand,2025-06-13,1,4,0,1,3.0,1,1,0,0,2,1,2025-06,9.0
U10049,Demand,2025-06-07,7,3,0,1,1.0,1,1,1,0,3,0,2025-06,12.0
U10050,Supply,2025-05-26,4,3,0,0,2.0,1,0,0,0,1,1,2025-05,9.0
U10051,Demand,2025-01-02,7,2,0,0,1.0,1,0,0,0,1,1,2025-01,10.0
U10052,Demand,2025-06-26,7,3,0,1,3.0,1,1,1,0,3,0,2025-06,14.0
U10053,Demand,2025-03-18,8,3,0,1,5.0,1,1,1,1,4,0,2025-03,17.0
U10054,Demand,2025-05-12,7,8,0,3,3.0,1,1,0,0,2,1,2025-05,21.0
U10055,Demand,2025-03-31,7,5,0,1,3.0,1,0,1,0,3,0,2025-03,16.0
U10056,Demand,2025-03-30,13,8,0,3,4.0,1,1,1,1,4,0,2025-03,28.0
U10057,Supply,2025-04-04,12,5,3,0,2.0,1,1,0,0,2,1,2025-04,22.0
U10058,Supply,2025-01-07,11,3,1,0,3.0,1,1,1,0,3,0,2025-01,18.0
U10059,Supply,2025-04-05,8,3,1,0,2.0,1,1,1,0,3,0,2025-04,14.0
U10060,Supply,2025-04-18,7,1,1,1,1.0,1,1,1,0,3,0,2025-04,11.0
U10061,Supply,2025-03-15,14,5,2,1,5.0,1,1,1,1,4,0,2025-03,27.0
U10062,Supply,2025-02-08,5,0,1,1,7.0,1,0,1,0,3,0,2025-02,14.0
U10063,Demand,2025-05-21,5,5,0,0,3.0,1,1,0,0,2,1,2025-05,13.0
U10064,Supply,2025-06-08,4,1,3,0,2.0,1,0,1,0,3,0,2025-06,10.0
U10065,Supply,2025-03-12,8,3,2,0,3.0,1,1,1,1,4,0,2025-03,16.0
U10066,Demand,2025-02-25,6,6,0,0,1.0,1,1,0,0,2,1,2025-02,13.0
U10067,Supply,2025-06-19,10,2,2,1,3.0,1,0,0,0,1,1,2025-06,18.0
U10068,Demand,2025-02-11,8,5,0,3,5.0,1,0,1,0,3,0,2025-02,21.0
U10069,Supply,2025-02-05,7,5,1,1,2.0,1,1,1,0,3,0,2025-02,16.0
U10070,Demand,2025-03-25,7,2,0,0,1.0,1,0,0,0,1,1,2025-03,10.0
U10071,Demand,2025-04-28,10,1,0,0,2.0,1,1,1,0,3,0,2025-04,13.0
U10072,Supply,2025-01-07,8,2,3,0,0.0,1,1,1,1,4,0,2025-01,13.0
U10073,Supply,2025-02-23,4,0,4,0,2.0,1,1,0,0,2,1,2025-02,10.0
U10074,Demand,2025-05-09,13,9,0,1,3.0,1,1,0,0,2,1,2025-05,26.0
U10075,Demand,2025-06-21,5,1,0,0,3.0,1,0,0,0,1,1,2025-06,9.0
U10076,Demand,2025-04-30,12,4,0,1,3.0,1,1,0,0,2,1,2025-04,20.0
U10077,Demand,2025-06-22,10,7,0,0,3.0,1,1,1,0,3,0,2025-06,20.0
U10078,Supply,2025-04-16,5,2,2,0,3.0,1,1,0,1,4,0,2025-04,12.0
U10079,Supply,2025-02-16,11,3,3,0,1.0,1,0,0,1,4,0,2025-02,18.0
U10080,Supply,2025-05-03,7,2,2,2,4.0,1,1,0,1,4,0,2025-05,17.0
U10081,Demand,2025-05-21,9,2,0,1,6.0,1,1,0,1,4,0,2025-05,18.0
U10082,Demand,2025-04-29,5,3,0,0,1.0,1,0,0,0,1,1,2025-04,9.0
U10083,Supply,2025-05-30,7,1,4,0,0.0,1,1,1,1,4,0,2025-05,12.0
U10084,Supply,2025-04-28,9,5,2,0,3.0,1,1,1,0,3,0,2025-04,19.0
U10085,Supply,2025-01-21,8,4,0,0,4.0,1,1,0,1,4,0,2025-01,16.0
U10086,Supply,2025-05-17,9,4,3,1,2.0,1,0,0,0,1,1,2025-05,19.0
U10087,Demand,2025-01-26,7,6,0,1,4.0,1,0,1,1,4,0,2025-01,18.0
U10088,Demand,2025-01-09,8,7,0,1,3.0,1,1,1,1,4,0,2025-01,19.0
U10089,Demand,2025-01-15,5,2,0,1,8.0,1,1,1,1,4,0,2025-01,16.0
U10090,Demand,2025-01-10,7,3,0,0,1.0,1,1,1,0,3,0,2025-01,11.0
U10091,Supply,2025-05-02,16,4,2,0,1.0,1,1,0,1,4,0,2025-05,23.0
U10092,Demand,2025-05-01,11,5,0,0,1.0,1,1,1,1,4,0,2025-05,17.0
U10093,Demand,2025-05-05,16,10,0,2,4.0,1,0,0,0,1,1,2025-05,32.0
U10094,Demand,2025-06-19,15,8,0,3,3.0,1,0,1,1,4,0,2025-06,29.0
U10095,Demand,2025-03-13,10,7,0,3,8.0,1,0,1,1,4,0,2025-03,28.0
U10096,Demand,2025-06-01,13,6,0,4,6.0,1,1,1,1,4,0,2025-06,29.0
U10097,Demand,2025-02-18,4,0,0,1,3.0,1,0,0,0,1,1,2025-02,8.0
U10098,Demand,2025-06-03,5,2,0,2,2.0,1,0,0,1,4,0,2025-06,11.0
U10099,Supply,2025-04-01,11,6,3,1,1.0,1,1,0,1,4,0,2025-04,22.0
U10100,Supply,2025-02-06,7,2,0,0,2.0,1,1,1,1,4,0,2025-02,11.0
U10101,Supply,2025-03-09,5,3,0,1,3.0,1,1,0,0,2,1,2025-03,12.0
U10102,Demand,2025-02-19,8,5,0,1,3.0,1,1,1,0,3,0,2025-02,17.0
U10103,Supply,2025-06-01,11,2,1,1,2.0,1,1,1,0,3,0,2025-06,17.0
U10104,Demand,2025-01-19,9,5,0,0,1.0,1,0,0,0,1,1,2025-01,15.0
U10105,Demand,2025-04-10,3,4,0,1,1.0,1,1,1,0,3,0,2025-04,9.0
U10106,Supply,2025-03-01,10,2,4,0,2.0,1,1,0,0,2,1,2025-03,18.0
U10107,Supply,2025-06-16,10,5,3,2,8.0,1,1,1,0,3,0,2025-06,28.0
U10108,Demand,2025-03-30,8,4,0,1,5.0,1,0,1,0,3,0,2025-03,18.0
U10109,Supply,2025-05-26,9,4,4,1,2.0,1,1,1,0,3,0,2025-05,20.0
U10110,Supply,2025-05-27,5,2,2,0,1.0,1,1,0,0,2,1,2025-05,10.0
U10111,Supply,2025-06-13,15,5,1,0,3.0,1,1,1,1,4,0,2025-06,24.0
U10112,Supply,2025-03-10,16,3,4,2,2.0,1,1,1,1,4,0,2025-03,27.0
U10113,Demand,2025-06-24,5,6,0,0,2.0,1,0,1,1,4,0,2025-06,13.0
U10114,Demand,2025-02-18,9,4,0,1,3.0,1,1,1,0,3,0,2025-02,17.0
U10115,Demand,2025-04-18,4,3,0,1,4.0,1,0,0,0,1,1,2025-04,12.0
U10116,Demand,2025-06-10,12,8,0,3,5.0,1,1,1,1,4,0,2025-06,28.0
U10117,Demand,2025-04-29,4,3,0,0,2.0,1,1,0,0,2,1,2025-04,9.0
U10118,Supply,2025-05-29,8,1,3,2,7.0,1,0,0,1,4,0,2025-05,21.0
U10119,Demand,2025-05-30,6,6,0,1,5.0,1,0,1,0,3,0,2025-05,18.0
U10120,Demand,2025-06-25,14,5,0,1,1.0,1,1,1,1,4,0,2025-06,21.0
U10121,Demand,2025-02-06,6,5,0,3,5.0,1,0,1,0,3,0,2025-02,19.0
U10122,Demand,2025-05-23,3,5,0,0,2.0,1,1,1,1,4,0,2025-05,10.0
U10123,Supply,2025-06-12,8,1,4,1,7.0,1,1,1,1,4,0,2025-06,21.0
U10124,Supply,2025-06-09,6,2,0,0,5.0,1,1,0,0,2,1,2025-06,13.0
U10125,Supply,2025-01-11,9,4,3,1,5.0,1,1,1,1,4,0,2025-01,22.0
U10126,Demand,2025-05-18,13,7,0,1,1.0,1,0,1,0,3,0,2025-05,22.0
U10127,Demand,2025-03-19,7,7,0,2,2.0,1,0,0,0,1,1,2025-03,18.0
U10128,Demand,2025-03-18,7,5,0,1,1.0,1,0,0,0,1,1,2025-03,14.0
U10129,Supply,2025-06-02,7,2,1,0,2.0,1,1,0,0,2,1,2025-06,12.0
U10130,Demand,2025-01-02,11,4,0,1,0.0,1,1,0,1,4,0,2025-01,16.0
U10131,Supply,2025-03-05,9,4,4,0,1.0,1,1,1,1,4,0,2025-03,18.0
U10132,Supply,2025-02-04,12,4,3,1,5.0,1,1,1,1,4,0,2025-02,25.0
U10133,Supply,2025-01-07,6,3,1,0,1.0,1,1,1,1,4,0,2025-01,11.0
U10134,Supply,2025-03-26,11,4,2,0,2.0,1,0,0,1,4,0,2025-03,19.0
U10135,Demand,2025-05-26,8,4,0,0,3.0,1,0,0,0,1,1,2025-05,15.0
U10136,Supply,2025-03-08,10,1,4,0,2.0,1,0,0,0,1,1,2025-03,17.0
U10137,Demand,2025-02-11,4,4,0,0,0.0,1,0,0,0,1,1,2025-02,8.0
U10138,Demand,2025-04-28,6,2,0,1,4.0,1,0,1,0,3,0,2025-04,13.0
U10139,Supply,2025-05-05,8,3,3,0,1.0,1,0,1,0,3,0,2025-05,15.0
U10140,Demand,2025-06-16,11,6,0,1,3.0,1,0,0,0,1,1,2025-06,21.0
U10141,Demand,2025-06-18,3,2,0,0,2.0,1,1,0,0,2,1,2025-06,7.0
U10142,Supply,2025-01-24,14,5,0,0,4.0,1,0,0,1,4,0,2025-01,23.0
U10143,Demand,2025-02-15,8,4,0,2,4.0,1,0,1,0,3,0,2025-02,18.0
U10144,Supply,2025-01-19,14,3,4,3,4.0,1,1,0,0,2,1,2025-01,28.0
U10145,Supply,2025-03-09,10,4,0,0,0.0,1,1,0,1,4,0,2025-03,14.0
U10146,Supply,2025-04-12,15,6,2,0,0.0,1,1,1,1,4,0,2025-04,23.0
U10147,Demand,2025-02-11,8,6,0,0,0.0,1,0,0,0,1,1,2025-02,14.0
U10148,Demand,2025-02-01,11,8,0,2,8.0,1,1,1,0,3,0,2025-02,29.0
U10149,Supply,2025-06-16,10,5,1,0,2.0,1,0,1,0,3,0,2025-06,18.0
U10150,Supply,2025-04-19,8,6,1,1,4.0,1,1,0,0,2,1,2025-04,20.0
U10151,Demand,2025-02-05,5,2,0,1,2.0,1,1,0,1,4,0,2025-02,10.0
U10152,Supply,2025-04-07,7,5,3,2,3.0,1,1,1,0,3,0,2025-04,20.0
U10153,Supply,2025-06-13,6,0,1,0,3.0,1,0,0,0,1,1,2025-06,10.0
U10154,Demand,2025-05-11,8,5,0,1,5.0,1,1,0,1,4,0,2025-05,19.0
U10155,Demand,2025-03-14,8,5,0,1,3.0,1,0,1,0,3,0,2025-03,17.0
U10156,Supply,2025-05-16,6,4,4,1,4.0,1,0,0,0,1,1,2025-05,19.0
U10157,Demand,2025-04-07,6,2,0,0,2.0,1,0,0,0,1,1,2025-04,10.0
U10158,Demand,2025-05-03,8,4,0,2,6.0,1,1,1,0,3,0,2025-05,20.0
U10159,Supply,2025-03-11,5,2,0,0,4.0,1,1,1,0,3,0,2025-03,11.0
U10160,Demand,2025-06-18,4,6,0,0,4.0,1,0,0,0,1,1,2025-06,14.0
U10161,Supply,2025-01-13,3,1,1,0,3.0,1,1,1,1,4,0,2025-01,8.0
U10162,Demand,2025-02-18,5,3,0,0,0.0,1,0,0,0,1,1,2025-02,8.0
U10163,Demand,2025-03-01,6,5,0,0,4.0,1,1,0,0,2,1,2025-03,15.0
U10164,Demand,2025-05-10,9,3,0,1,3.0,1,0,0,0,1,1,2025-05,16.0
U10165,Supply,2025-01-05,8,3,3,2,3.0,1,1,0,0,2,1,2025-01,19.0
U10166,Demand,2025-06-21,13,5,0,3,4.0,1,0,1,0,3,0,2025-06,25.0
U10167,Supply,2025-01-27,11,2,3,1,4.0,1,1,1,1,4,0,2025-01,21.0
U10168,Supply,2025-06-09,8,1,3,0,3.0,1,1,1,0,3,0,2025-06,15.0
U10169,Supply,2025-05-29,7,2,1,0,6.0,1,0,0,1,4,0,2025-05,16.0
U10170,Demand,2025-01-08,7,3,0,1,4.0,1,1,0,0,2,1,2025-01,15.0
U10171,Demand,2025-02-19,12,7,0,3,4.0,1,1,1,1,4,0,2025-02,26.0
U10172,Supply,2025-03-08,15,7,3,0,2.0,1,1,0,1,4,0,2025-03,27.0
U10173,Demand,2025-02-13,8,5,0,2,3.0,1,0,0,0,1,1,2025-02,18.0
U10174,Supply,2025-05-05,11,5,1,0,2.0,1,1,1,0,3,0,2025-05,19.0
U10175,Demand,2025-02-27,10,3,0,0,5.0,1,0,0,1,4,0,2025-02,18.0
U10176,Supply,2025-01-03,10,0,4,3,1.0,1,1,1,1,4,0,2025-01,18.0
U10177,Demand,2025-03-27,7,3,0,1,2.0,1,1,1,1,4,0,2025-03,13.0
U10178,Supply,2025-03-11,7,1,0,1,3.0,1,1,1,0,3,0,2025-03,12.0
U10179,Demand,2025-05-10,8,6,0,1,6.0,1,1,1,1,4,0,2025-05,21.0
U10180,Supply,2025-06-21,8,2,2,1,4.0,1,1,0,1,4,0,2025-06,17.0
U10181,Supply,2025-01-02,8,6,0,1,2.0,1,0,0,0,1,1,2025-01,17.0
U10182,Supply,2025-04-12,10,1,2,0,0.0,1,1,1,1,4,0,2025-04,13.0
U10183,Demand,2025-02-04,16,9,0,2,7.0,1,1,0,0,2,1,2025-02,34.0
U10184,Demand,2025-04-08,5,3,0,0,1.0,1,1,0,0,2,1,2025-04,9.0
U10185,Supply,2025-01-30,10,3,1,0,2.0,1,1,1,0,3,0,2025-01,16.0
U10186,Demand,2025-04-26,9,5,0,0,5.0,1,1,1,1,4,0,2025-04,19.0
U10187,Demand,2025-01-08,12,10,0,1,2.0,1,1,1,1,4,0,2025-01,25.0
U10188,Demand,2025-05-30,13,6,0,0,2.0,1,0,0,0,1,1,2025-05,21.0
U10189,Demand,2025-02-13,6,4,0,3,3.0,1,1,0,0,2,1,2025-02,16.0
U10190,Supply,2025-02-05,7,4,0,1,2.0,1,0,1,1,4,0,2025-02,14.0
U10191,Supply,2025-03-18,9,2,2,0,3.0,1,1,1,1,4,0,2025-03,16.0
U10192,Demand,2025-01-31,5,2,0,0,3.0,1,0,1,1,4,0,2025-01,10.0
U10193,Demand,2025-02-16,7,3,0,1,0.0,1,0,0,0,1,1,2025-02,11.0
U10194,Demand,2025-02-24,5,5,0,1,2.0,1,0,0,0,1,1,2025-02,13.0
U10195,Supply,2025-04-16,8,6,0,1,3.0,1,1,0,0,2,1,2025-04,18.0
U10196,Supply,2025-06-07,9,4,0,1,2.0,1,1,1,1,4,0,2025-06,16.0
U10197,Demand,2025-05-01,9,4,0,0,2.0,1,0,0,0,1,1,2025-05,15.0
U10198,Demand,2025-02-24,10,6,0,1,4.0,1,0,1,0,3,0,2025-02,21.0
U10199,Demand,2025-05-24,10,7,0,1,1.0,1,1,1,0,3,0,2025-05,19.0
U10200,Demand,2025-01-12,6,3,0,0,0.0,1,0,1,1,4,0,2025-01,9.0
U10201,Demand,2025-05-25,8,4,0,0,4.0,1,0,1,1,4,0,2025-05,16.0
U10202,Supply,2025-05-24,9,1,2,0,1.0,1,0,0,0,1,1,2025-05,13.0
U10203,Supply,2025-05-20,12,3,4,1,4.0,1,0,1,1,4,0,2025-05,24.0
U10204,Demand,2025-05-16,12,5,0,1,4.0,1,1,1,0,3,0,2025-05,22.0
U10205,Demand,2025-01-03,10,5,0,3,5.0,1,1,0,0,2,1,2025-01,23.0
U10206,Supply,2025-05-24,10,3,0,0,0.0,1,1,1,0,3,0,2025-05,13.0
U10207,Supply,2025-01-30,7,4,3,0,2.0,1,0,1,1,4,0,2025-01,16.0
U10208,Demand,2025-01-23,8,6,0,1,2.0,1,0,0,0,1,1,2025-01,17.0
U10209,Supply,2025-04-02,5,1,1,1,2.0,1,1,0,0,2,1,2025-04,10.0
U10210,Supply,2025-04-25,8,0,3,0,1.0,1,1,1,1,4,0,2025-04,12.0
U10211,Demand,2025-04-14,9,6,0,1,6.0,1,0,0,1,4,0,2025-04,22.0
U10212,Demand,2025-04-28,12,8,0,1,3.0,1,1,1,0,3,0,2025-04,24.0
U10213,Demand,2025-01-05,5,2,0,2,3.0,1,1,1,1,4,0,2025-01,12.0
U10214,Supply,2025-04-14,9,3,3,0,2.0,1,1,0,1,4,0,2025-04,17.0
U10215,Demand,2025-04-18,4,4,0,1,3.0,1,1,1,1,4,0,2025-04,12.0
U10216,Supply,2025-03-06,10,2,2,1,3.0,1,1,1,0,3,0,2025-03,18.0
U10217,Supply,2025-05-01,14,4,3,1,0.0,1,1,1,1,4,0,2025-05,22.0
U10218,Demand,2025-01-30,7,6,0,1,3.0,1,0,1,1,4,0,2025-01,17.0
U10219,Demand,2025-05-29,10,5,0,1,4.0,1,1,1,0,3,0,2025-05,20.0
U10220,Demand,2025-03-25,10,5,0,0,2.0,1,1,1,0,3,0,2025-03,17.0
U10221,Demand,2025-05-30,9,7,0,3,3.0,1,1,1,1,4,0,2025-05,22.0
U10222,Demand,2025-02-01,4,3,0,1,4.0,1,0,1,0,3,0,2025-02,12.0
U10223,Supply,2025-06-10,11,2,1,0,2.0,1,0,0,1,4,0,2025-06,16.0
U10224,Supply,2025-01-16,7,4,2,0,2.0,1,1,0,0,2,1,2025-01,15.0
U10225,Supply,2025-02-07,14,5,3,0,3.0,1,0,0,0,1,1,2025-02,25.0
U10226,Supply,2025-05-22,15,3,4,2,4.0,1,0,1,1,4,0,2025-05,28.0
U10227,Demand,2025-02-05,11,7,0,0,4.0,1,0,1,1,4,0,2025-02,22.0
U10228,Supply,2025-05-31,7,4,0,1,3.0,1,1,1,0,3,0,2025-05,15.0
U10229,Demand,2025-04-24,7,3,0,0,4.0,1,1,1,0,3,0,2025-04,14.0
U10230,Demand,2025-03-07,6,3,0,0,4.0,1,1,1,1,4,0,2025-03,13.0
U10231,Demand,2025-04-15,2,2,0,1,1.0,1,0,0,0,1,1,2025-04,6.0
U10232,Demand,2025-03-26,7,3,0,0,0.0,1,1,1,0,3,0,2025-03,10.0
U10233,Demand,2025-01-02,9,5,0,0,1.0,1,0,1,0,3,0,2025-01,15.0
U10234,Demand,2025-03-16,4,2,0,0,3.0,1,0,0,0,1,1,2025-03,9.0
U10235,Supply,2025-03-08,8,3,1,1,0.0,1,1,0,1,4,0,2025-03,13.0
U10236,Demand,2025-06-29,7,5,0,1,6.0,1,1,1,0,3,0,2025-06,19.0
U10237,Supply,2025-05-31,5,2,0,0,1.0,1,1,0,0,2,1,2025-05,8.0
U10238,Supply,2025-06-03,10,4,1,0,2.0,1,0,0,0,1,1,2025-06,17.0
U10239,Demand,2025-02-24,3,5,0,2,3.0,1,1,0,0,2,1,2025-02,13.0
U10240,Supply,2025-01-06,12,5,2,1,4.0,1,1,1,1,4,0,2025-01,24.0
U10241,Demand,2025-06-12,7,4,0,1,3.0,1,1,1,0,3,0,2025-06,15.0
U10242,Demand,2025-05-30,9,7,0,3,6.0,1,1,0,1,4,0,2025-05,25.0
U10243,Demand,2025-06-20,6,3,0,2,5.0,1,1,1,1,4,0,2025-06,16.0
U10244,Supply,2025-05-23,7,5,2,0,1.0,1,1,0,0,2,1,2025-05,15.0
U10245,Supply,2025-03-27,11,1,4,2,2.0,1,0,1,1,4,0,2025-03,20.0
U10246,Demand,2025-03-01,2,4,0,0,1.0,1,1,0,0,2,1,2025-03,7.0
U10247,Demand,2025-04-11,8,6,0,3,5.0,1,0,1,0,3,0,2025-04,22.0
U10248,Demand,2025-01-12,10,5,0,1,2.0,1,1,1,1,4,0,2025-01,18.0
U10249,Demand,2025-02-18,7,3,0,0,4.0,1,1,0,1,4,0,2025-02,14.0
U10250,Demand,2025-02-11,5,3,0,0,1.0,1,1,0,0,2,1,2025-02,9.0
U10251,Supply,2025-06-15,10,1,3,0,2.0,1,1,1,0,3,0,2025-06,16.0
U10252,Supply,2025-03-23,15,6,3,3,5.0,1,1,1,0,3,0,2025-03,32.0
U10253,Demand,2025-06-22,5,2,0,0,3.0,1,1,0,0,2,1,2025-06,10.0
U10254,Supply,2025-02-04,6,1,2,0,4.0,1,1,1,1,4,0,2025-02,13.0
U10255,Supply,2025-06-07,7,2,2,1,4.0,1,1,0,1,4,0,2025-06,16.0
U10256,Demand,2025-06-07,12,8,0,2,4.0,1,0,1,1,4,0,2025-06,26.0
U10257,Demand,2025-05-14,8,3,0,0,1.0,1,1,0,0,2,1,2025-05,12.0
U10258,Demand,2025-03-08,8,4,0,1,3.0,1,0,0,0,1,1,2025-03,16.0
U10259,Demand,2025-03-21,10,8,0,1,4.0,1,1,1,0,3,0,2025-03,23.0
U10260,Supply,2025-01-07,5,2,1,0,1.0,1,0,1,1,4,0,2025-01,9.0
U10261,Demand,2025-06-29,7,2,0,0,1.0,1,1,1,0,3,0,2025-06,10.0
U10262,Demand,2025-01-14,10,7,0,2,5.0,1,0,0,0,1,1,2025-01,24.0
U10263,Supply,2025-03-14,9,2,1,1,3.0,1,0,0,0,1,1,2025-03,16.0
U10264,Demand,2025-05-23,6,5,0,0,5.0,1,0,1,1,4,0,2025-05,16.0
U10265,Demand,2025-05-29,10,7,0,2,7.0,1,1,0,1,4,0,2025-05,26.0
U10266,Demand,2025-06-12,8,7,0,1,2.0,1,0,0,0,1,1,2025-06,18.0
U10267,Demand,2025-03-07,8,2,0,1,4.0,1,0,1,0,3,0,2025-03,15.0
U10268,Demand,2025-04-01,8,5,0,0,2.0,1,1,1,1,4,0,2025-04,15.0
U10269,Supply,2025-05-10,12,6,1,0,2.0,1,1,1,0,3,0,2025-05,21.0
U10270,Supply,2025-06-12,10,3,2,0,0.0,1,1,1,0,3,0,2025-06,15.0
U10271,Demand,2025-01-20,4,2,0,1,2.0,1,1,1,1,4,0,2025-01,9.0
U10272,Demand,2025-01-10,9,9,0,1,3.0,1,0,0,1,4,0,2025-01,22.0
U10273,Demand,2025-01-25,8,6,0,2,4.0,1,1,1,1,4,0,2025-01,20.0
U10274,Demand,2025-01-25,4,3,0,0,0.0,1,0,1,1,4,0,2025-01,7.0
U10275,Demand,2025-02-23,5,2,0,1,5.0,1,0,1,0,3,0,2025-02,13.0
U10276,Demand,2025-02-02,7,5,0,1,3.0,1,1,1,0,3,0,2025-02,16.0
U10277,Demand,2025-06-13,11,7,0,0,1.0,1,0,0,0,1,1,2025-06,19.0
U10278,Demand,2025-04-05,9,5,0,3,4.0,1,1,1,0,3,0,2025-04,21.0
U10279,Demand,2025-01-14,8,3,0,1,5.0,1,0,0,0,1,1,2025-01,17.0
U10280,Demand,2025-03-06,5,4,0,0,4.0,1,1,1,1,4,0,2025-03,13.0
U10281,Demand,2025-04-20,19,14,0,1,5.0,1,1,1,1,4,0,2025-04,39.0
U10282,Supply,2025-03-21,8,3,3,2,6.0,1,1,1,0,3,0,2025-03,22.0
U10283,Supply,2025-02-23,5,4,0,0,4.0,1,1,1,1,4,0,2025-02,13.0
U10284,Supply,2025-05-05,9,4,4,1,2.0,1,0,1,0,3,0,2025-05,20.0
U10285,Demand,2025-06-29,5,7,0,1,3.0,1,1,0,1,4,0,2025-06,16.0
U10286,Supply,2025-05-11,7,3,0,1,3.0,1,0,1,1,4,0,2025-05,14.0
U10287,Demand,2025-06-18,10,3,0,1,2.0,1,1,1,1,4,0,2025-06,16.0
